
Create account with required values (user name is existed)	api/Accounts/CreateAccount	POST	{"userName":"TestAPI","password":"123456x@X","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	409	409	This user name is existed	This user name is existed	Passed
Create account with required values (successful)	api/Accounts/CreateAccount	POST	{"userName":"86950cb0-96a4-4165-83df-959236001ed4","password":"123456x@X","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	200	200	Add account is successful	Add account is successful	Passed
Create account with full values (successful)	api/Accounts/CreateAccount	POST	{"userName":"dcbc4834-71ab-4bd2-b307-1645d541d6dd","password":"123456x@X","role":"Admin","phoneNumber":"0949690002","fullName":"Do Trong Si","address":"HCM City","cartItem":[],"order":[]}	200	200	Add account is successful	Add account is successful	Passed
Create account with not required values (without password)	api/Accounts/CreateAccount	POST	{"userName":"123456x@X","password":null,"role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	400	400	Error in CreateAccount()	Error in CreateAccount()	Passed
Create account with full values (user name is existed)	api/Accounts/CreateAccount	POST	{"userName":"TestAPI","password":"123456x@X","role":"Admin","phoneNumber":"0949690002","fullName":"Do Trong Si","address":"HCM City","cartItem":[],"order":[]}	409	409	This user name is existed	This user name is existed	Passed
Create account with not required values (without username)	api/Accounts/CreateAccount	POST	{"userName":null,"password":"123456x@X","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	400	400	Error in CreateAccount()	Error in CreateAccount()	Passed
Log in failed with null password	api/Logins	POST	{"userName":"testAPI","password":null,"role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	400	400	Some parameter is null	Some parameter is null	Passed
Log in failed with wrong password	api/Logins	POST	{"userName":"testAPI","password":"123456x@X222","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	400	400	Invalid credentials	Invalid credentials	Passed
Log in failed with null username	api/Logins	POST	{"userName":null,"password":"123456x@X","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	400	400	Some parameter is null	Some parameter is null	Passed
Log in successfully	api/Logins	POST	{"userName":"testAPI","password":"123456x@X","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	200	200			Passed
Log in failed with wrong username	api/Logins	POST	{"userName":"testAPI222","password":"123456x@X","role":null,"phoneNumber":null,"fullName":null,"address":null,"cartItem":[],"order":[]}	400	400	Invalid credentials	Invalid credentials	Passed
Get products successfully	api/Products/GetProducts	GET	null	200	200			Passed
